dt,date,time,dayoftheweek,latitude,longitude,site_name,site_code,source_id,PM1,PM10,PM25,AQI,NO2,O3,SO2
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.612843,-1.64443,Charlesby Drive,OPENAQ_Charlesby-Drive228606,OPENAQ,0.4,5.4,4.4,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.5111824979787,-0.139114122784456,Westminster - Regent St (Crown Estate),OPENAQ_Westminster---Regent-St-(Crown-Estate)270694,OPENAQ,,,,2.0,27.5,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,52.132417,-0.300306,Sandy Roadside,OPENAQ_Sandy-Roadside2480,OPENAQ,,12.0,0.0,1.0,1.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.588417,-0.362989,Harrow - Pinner Road,OPENAQ_Harrow---Pinner-Road225779,OPENAQ,,6.0,,1.0,15.8,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.475163,-0.617876,Windsor,OPENAQ_Windsor69795,OPENAQ,2.4,0.7,0.5,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.544206,0.678408,Southend-on-Sea,OPENAQ_Southend-on-Sea2530,OPENAQ,,5.0,2.0,2.0,2.0,41.0,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.74488,-1.260664,St. Ebbes no 1,OPENAQ_St.-Ebbes-no-1224923,OPENAQ,0.2,17.9,17.1,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.763077,-1.270697,Southmoor Rd,OPENAQ_Southmoor-Rd224306,OPENAQ,0.0,11.5,10.6,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.6450367266602,-0.0661800662229116,Enfield - Bush Hill Park,OPENAQ_Enfield---Bush-Hill-Park225736,OPENAQ,,,,1.0,0.9,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.557895,-0.106989,Islington - Arsenal,OPENAQ_Islington---Arsenal225782,OPENAQ,,5.0,,1.0,13.2,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.680579,-3.133508,Hafod-yr-ynys Roadside,OPENAQ_Hafod-yr-ynys-Roadside2414,OPENAQ,,,,2.0,14.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.563752,0.177891,Barking and Dagenham - Rush Green,OPENAQ_Barking-and-Dagenham---Rush-Green225708,OPENAQ,,,,1.0,5.4,,0.6
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.45617,0.634889,Rochester Stoke,OPENAQ_Rochester-Stoke2558,OPENAQ,,5.0,3.0,1.0,1.0,43.0,2.0
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.617054,-0.644539,Beaconsfield ,OPENAQ_Beaconsfield-67540,OPENAQ,1.6,1.4,1.1,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.563225,0.309303,"Monks Farm, Upminster","OPENAQ_Monks-Farm,-Upminster235016",OPENAQ,5.4,8.0,7.0,1.0,,,
